"field_id","capture_site","landscape","MamDiv","MamHill","MicDiv","Dim.1scaled","Dim.2scaled","parShnEx","habitat.size.tabellor","canopy_cover_perc","canopy_height_m","understorey_density_perc","GenDiv"
"1296","FR","continuous.forest",0.978326122793608,1.703,0.754,0.732388637130749,0.467387370602807,1,516.2,81,15,57,0.641
"1302","AS4","forest.fragment",1.69561560867515,4.554,0.771,-1.33097035185975,-1.95917861077991,1,1.5,72,7,54,0.951
"1306","AR2","forest.fragment",1.21194097397511,2.963,0.786,1.39604986241876,-1.96878064904566,1,142,91,15,62,0.9
"1307","AR2","forest.fragment",1.21194097397511,2.963,0.864,1.39604986241876,-1.96878064904566,1,142,91,15,62,0.53
"1308","AR2","forest.fragment",1.21194097397511,2.963,0.869,1.39604986241876,-1.96878064904566,1,142,91,15,62,0.866
"1309","AR2","forest.fragment",1.21194097397511,2.963,0.753,1.39604986241876,-1.96878064904566,1.62728455663855,142,91,15,62,0.936
"1316","AR2","forest.fragment",1.21194097397511,2.963,0.776,1.39604986241876,-1.96878064904566,1.0786940376146,142,91,15,62,0.74
"1321","AR2","forest.fragment",1.21194097397511,2.963,0.851,1.39604986241876,-1.96878064904566,1,142,91,15,62,0.626
"1323","AR2","forest.fragment",1.21194097397511,2.963,0.793,1.39604986241876,-1.96878064904566,1,142,91,15,62,0.687
"1325","AR2","forest.fragment",1.21194097397511,2.963,0.847,1.39604986241876,-1.96878064904566,1,142,91,15,62,0.503
"1335","AR3","forest.fragment",0.841567185678219,1.636,0.854,1.91021926105083,-1.6920558187209,1,142,94,18,59,0.708
"1336","AR3","forest.fragment",0.841567185678219,1.636,0.836,1.91021926105083,-1.6920558187209,1,142,94,18,59,0.791
"1340","AR3","forest.fragment",0.841567185678219,1.636,0.888,1.91021926105083,-1.6920558187209,1,142,94,18,59,0.824
"1342","AR3","forest.fragment",0.841567185678219,1.636,0.852,1.91021926105083,-1.6920558187209,1,142,94,18,59,0.55
"1345","AR3","forest.fragment",0.841567185678219,1.636,0.846,1.91021926105083,-1.6920558187209,1,142,94,18,59,0.762
"1362","AR3","forest.fragment",0.841567185678219,1.636,0.881,1.91021926105083,-1.6920558187209,1,142,94,18,59,0.631
"1368","AR3","forest.fragment",0.841567185678219,1.636,0.799,1.91021926105083,-1.6920558187209,1,142,94,18,59,0.652
"1369","AR3","forest.fragment",0.841567185678219,1.636,0.891,1.91021926105083,-1.6920558187209,1,142,94,18,59,0.661
"1370","AR3","forest.fragment",0.841567185678219,1.636,0.851,1.91021926105083,-1.6920558187209,1,142,94,18,59,0.758
"1391","AS5","forest.fragment",1.56653041142282,4.667,0.763,0.225897904680669,-1.34173125169885,1,33.1,77,16,54,0.65
"1398","AR1","forest.fragment",0.99694863489161,1.796,0.84,2.07360258279465,-1.64869471617898,1,142,94,19,60,0.676
"1403","AR1","forest.fragment",0.99694863489161,1.796,0.831,2.07360258279465,-1.64869471617898,1,142,94,19,60,0.688
"1404","AR1","forest.fragment",0.99694863489161,1.796,0.804,2.07360258279465,-1.64869471617898,1,142,94,19,60,0.754
"1417","AR1","forest.fragment",0.99694863489161,1.796,0.811,2.07360258279465,-1.64869471617898,1,142,94,19,60,0.814
"1421","AR1","forest.fragment",0.99694863489161,1.796,0.755,2.07360258279465,-1.64869471617898,1,142,94,19,60,0.667
"1425","AR1","forest.fragment",0.99694863489161,1.796,0.827,2.07360258279465,-1.64869471617898,1,142,94,19,60,0.836
"1428","AR1","forest.fragment",0.99694863489161,1.796,0.794,2.07360258279465,-1.64869471617898,1,142,94,19,60,0.698
"1436","OI","island",0.593326845277734,1.505,0.697,-0.832176190238053,-0.990068893415465,1,17.5,80,13,58,0.807
"1438","OI","island",0.593326845277734,1.505,0.752,-0.832176190238053,-0.990068893415465,1,17.5,80,13,58,0.549
"1439","OI","island",0.593326845277734,1.505,0.756,-0.832176190238053,-0.990068893415465,2.06775334667241,17.5,80,13,58,0.628
"1440","OI","island",0.593326845277734,1.505,0.759,-0.832176190238053,-0.990068893415465,1.32976055645564,17.5,80,13,58,0.831
"1444","OI","island",0.593326845277734,1.505,0.754,-0.832176190238053,-0.990068893415465,1,17.5,80,13,58,0.873
"1448","OI","island",0.593326845277734,1.505,0.724,-0.832176190238053,-0.990068893415465,1,17.5,80,13,58,0.569
"1449","OI","island",0.593326845277734,1.505,0.729,-0.832176190238053,-0.990068893415465,1,17.5,80,13,58,0.435
"1450","OI","island",0.593326845277734,1.505,0.818,-0.832176190238053,-0.990068893415465,1,17.5,80,13,58,0.251
"1454","OI","island",0.593326845277734,1.505,0.769,-0.832176190238053,-0.990068893415465,1,17.5,80,13,58,0.342
"1461","PB","continuous.forest",0.631271776841858,1.44,0.784,1.36840431018065,1.65307718982475,1,1036.5,88,19,37,0.375
"1462","PB","continuous.forest",0.631271776841858,1.44,0.817,1.36840431018065,1.65307718982475,1.57871818869207,1036.5,88,19,37,0.458
"1463","PB","continuous.forest",0.631271776841858,1.44,0.751,1.36840431018065,1.65307718982475,1,1036.5,88,19,37,0.385
"1464","PB","continuous.forest",0.631271776841858,1.44,0.746,1.36840431018065,1.65307718982475,1,1036.5,88,19,37,0.391
"1465","PB","continuous.forest",0.631271776841858,1.44,0.666,1.36840431018065,1.65307718982475,1,1036.5,88,19,37,0.504
"1467","TA","island",0.438254930931155,1.229,0.734,-1.63366236665128,-0.550819187938405,1,6.9,76,12,46,0.078
"1468","TA","island",0.438254930931155,1.229,0.766,-1.63366236665128,-0.550819187938405,1,6.9,76,12,46,0.417
"1471","TA","island",0.438254930931155,1.229,0.716,-1.63366236665128,-0.550819187938405,1,6.9,76,12,46,0.386
"1472","TA","island",0.438254930931155,1.229,0.747,-1.63366236665128,-0.550819187938405,1,6.9,76,12,46,0.503
"1475","TA","island",0.438254930931155,1.229,0.786,-1.63366236665128,-0.550819187938405,1.33220569124945,6.9,76,12,46,0.439
"1476","TA","island",0.438254930931155,1.229,0.709,-1.63366236665128,-0.550819187938405,1,6.9,76,12,46,0.527
"1479","TA","island",0.438254930931155,1.229,0.778,-1.63366236665128,-0.550819187938405,1.39650341831155,6.9,76,12,46,0.394
"1481","GIG1","continuous.forest",0.262364264467491,1.122,0.74,2.51152348901328,1.99233509129573,2.11182440765607,2693.8,92,17,48,0.708
"1482","GIG1","continuous.forest",0.262364264467491,1.122,0.823,2.51152348901328,1.99233509129573,1,2693.8,92,17,48,0.632
